,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
112,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0100.txt,100,9364,-607,938,163,4,0,238,-32,791,-275,2575,43,331,3,600,0,154,4,0,0,0,152,0
113,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0130.txt,130,12050,2686,1366,428,5,1,472,234,2742,1951,2683,28,714,5,2614,26,384,5,3,3,1,373,0
114,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0200.txt,200,12480,430,1251,-115,4,-1,291,-181,1793,-949,3432,47,724,6,1576,14,218,4,1,1,0,194,0
115,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0230.txt,230,12278,-202,1122,-129,4,0,218,-73,998,-795,3350,61,422,4,914,0,158,4,0,0,0,129,0
116,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0300.txt,300,126184,113906,1024,-98,4,0,7268,7050,61233,60235,31802,17,15454,8,60986,350,7195,4,44,1,0,7122,0
117,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0330.txt,330,13715,-112469,928,-96,4,0,429,-6839,2699,-58534,3660,34,890,6,2597,0,366,3,0,0,0,222,0
118,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0400.txt,400,23169,9454,2761,1833,4,0,524,95,5477,2778,6482,49,1807,10,5166,155,435,4,18,2,0,303,0
119,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0430.txt,430,13747,-9422,1049,-1712,4,0,362,-162,1978,-3499,3699,40,663,5,1902,0,302,4,0,0,0,245,0
120,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0500.txt,500,9695,-4052,839,-210,4,0,262,-100,1062,-916,2633,40,400,4,975,0,192,4,0,0,0,177,0
121,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0530.txt,530,22712,13017,1604,765,4,0,236,-26,1543,481,6079,103,659,6,1451,0,169,4,0,0,0,143,0
122,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0600.txt,600,17199,-5513,1865,261,4,0,289,53,2322,779,4766,65,858,8,2199,0,216,4,0,0,0,186,0
123,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0630.txt,630,12045,-5154,1138,-727,4,0,318,29,1430,-892,3295,41,554,4,1230,0,233,4,0,0,0,212,0
124,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0700.txt,700,21748,9703,3027,1889,5,1,328,10,2490,1060,4955,75,1065,7,2300,0,239,5,0,0,1,194,0
125,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0730.txt,730,12769,-8979,1682,-1345,5,0,266,-62,1525,-965,2890,54,657,5,1412,2,206,5,1,1,1,153,0
126,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0800.txt,800,42296,29527,4414,2732,5,0,420,154,3236,1711,9342,111,1125,7,2604,61,316,5,9,2,0,318,1
